Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_CUI_CPT-9019S-SMT,1,CPT-9019S-SMT-TR,C95163
"C1, C17, C23, C26, C6, C7",0402,6,1u,C52923
"C10, C11, C12, C13, C14",0603,5,1u,C15849
"C15, C16, C19, C21, C22, C3, C4, C8, C9",0402,9,100n,C307331
"C20, C24",0603,2,10nF,C57112
"D1, D16, D17",D_SOD-323,3,PESD3V3U1UA,C403915
"D10, D12, D3, D5, D8",0805,5,KT-0805Y,C2296
"D11, D2, D4, D6, D9",0805,5,KT-0805G,C2297
"D13, D14, D15",TVS_PESD2CANFD24V-UX,3,PESD2CANFD24V-UX,C552487
D7,D_SMA,1,SMAJ5.0A,C2925443
FB1,0603,1,FerriteBead_Small,C1002
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C2894897
"J2, J4, J5, J6",1881561,4,Phoenix_1881561,C3585554
"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8",PinHeader_1x02_P2.54mm_Vertical,8,Jumper_2_Open,C492401
"L3, L4",L_Wurth_WE-CNSW-1812,2,100 uH,C2662370
Q1,SOT-23,1,MMBT3904,C7420353
"R10, R11, R12, R13, R16, R17, R18, R19, R26, R27, R29, R5",0603,12,1k,C21190
"R14, R15, R24, R25",0805,4,68,C17802
"R2, R20, R21, R3",0402,4,5.1k,C25905
"R22, R23, R7, R8",0603,4,0,C21189
R9,0603,1,1k2,C22765
"SW3, SW4, SW5, SW6",SW_SPST_PTS645Sx43SMTR92,4,SW_Push,C221880
"TP1, TP10, TP11, TP12, TP13, TP14, TP15",TestPoint_Keystone_5019_Miniature,7,TestPoint_Keystone_5019,C238131
"TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TP_Keystone_5010-5014_Multipurpose,8,TestPoint,C2906765
U2,SOT-23-3,1,XC6206P332MR-G,C5446
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN3413DR,C22433320
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,ST4E1240DT,C29603430
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX232ESE+T,C26860
U6,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,C2847904
U7,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,C5248081
