Designator,Mid X,Mid Y,Rotation,Layer
BZ1,24.892,5.08,180.0,top
C1,17.34608,27.374388,0.0,top
C10,34.276653,2.919907,180.0,top
C11,37.676653,2.919907,180.0,top
C12,33.676653,12.119907,0.0,top
C13,31.676653,5.319907,270.0,top
C14,40.876653,2.919907,0.0,top
C15,4.68,23.005,180.0,top
C16,14.28,23.09,180.0,top
C17,28.382625,29.0096,0.0,top
C19,29.848056,41.008908,270.0,top
C20,50.518,33.697421,0.0,top
C21,33.797256,44.351708,0.0,top
C22,14.2,11.0,180.0,top
C23,9.308,49.4924,90.0,top
C24,51.1695,27.432,180.0,top
C26,28.956,10.414,0.0,top
C3,4.6,10.8,180.0,top
C4,17.34608,28.374388,180.0,top
C6,5.791048,52.022252,270.0,top
C7,2.191048,54.034752,0.0,top
C8,3.131048,50.034752,0.0,top
C9,28.382625,28.0096,180.0,top
D1,17.52208,26.047388,0.0,top
D10,55.920887,15.8201,0.0,top
D11,55.748659,3.40365,0.0,top
D12,55.748659,1.36365,0.0,top
D13,58.2676,40.5384,180.0,top
D14,58.039,24.892,180.0,top
D15,59.69,9.144,180.0,top
D16,59.436,60.96,270.0,top
D17,59.436,57.658,90.0,top
D2,5.596224,60.978,180.0,top
D3,5.596224,58.778,180.0,top
D4,56.022339,54.133706,0.0,top
D5,56.022339,52.093706,0.0,top
D6,56.261,33.980551,0.0,top
D7,4.241048,47.584752,180.0,top
D8,56.261,31.940551,0.0,top
D9,55.920887,18.0001,0.0,top
FB1,15.54608,27.374388,90.0,top
J1,3.614048,40.208752,270.0,top
J2,66.073,58.405,270.0,top
J4,66.073,24.121,270.0,top
J5,66.073,7.579,270.0,top
J6,66.073,41.295859,270.0,top
JP1,43.434,21.839,270.0,top
JP2,52.069534,43.966802,90.0,top
JP3,47.74846461210692,27.93646461210692,225.0,top
JP4,52.07,37.597,90.0,top
JP5,35.809,19.558,180.0,top
JP6,35.819,29.972,0.0,top
JP7,43.0734,44.704,180.0,top
JP8,42.931,35.306,0.0,top
L3,36.573,24.781,180.0,top
L4,43.0784,40.0812,180.0,top
Q1,23.876,11.938,180.0,top
R10,59.218733,54.133706,0.0,top
R11,59.218733,52.133706,0.0,top
R12,59.516,34.000551,0.0,top
R13,59.541,32.000551,0.0,top
R14,49.276,42.164,270.0,top
R15,49.276,38.354,270.0,top
R16,59.189886,18.0201,0.0,top
R17,59.189886,15.8801,0.0,top
R18,58.927329,3.42365,0.0,top
R19,58.927329,1.42365,0.0,top
R2,9.864048,36.958752,90.0,top
R20,9.308,52.0024,270.0,top
R21,9.398,54.6024,270.0,top
R22,17.708,43.254,270.0,top
R23,19.308,43.254,270.0,top
R24,43.434,25.908,180.0,top
R25,43.434,28.448,90.0,top
R26,35.814,37.592,0.0,top
R27,32.766,37.592,0.0,top
R29,21.082,11.938,90.0,top
R3,9.652,42.958752,270.0,top
R5,2.396224,60.978,180.0,top
R7,21.908,41.854,180.0,top
R8,21.908,43.454,180.0,top
R9,2.396224,58.778,180.0,top
SW3,5.0925,6.82,270.0,top
SW4,5.0925,18.9775,270.0,top
SW5,14.655,18.9775,270.0,top
SW6,14.655,6.82,270.0,top
TP1,44.702,61.202502,270.0,top
TP10,45.69,11.297656,90.0,top
TP11,45.72,3.75,90.0,top
TP12,36.574,61.212,270.0,top
TP13,86.538985,32.709148,0.0,top
TP14,86.557546,2.904512,0.0,top
TP15,86.614,61.849,0.0,top
TP2,56.261,43.942,90.0,top
TP3,56.261,37.211,90.0,top
TP4,56.261,28.321,90.0,top
TP5,56.261,21.384,90.0,top
TP6,56.261,57.15,90.0,top
TP7,56.134,61.976,90.0,top
TP8,56.253,7.112,90.0,top
TP9,56.253,11.440289,90.0,top
U2,3.591048,52.634752,270.0,top
U3,34.122256,41.091708,270.0,top
U4,27.107625,24.7496,270.0,top
U5,37.676653,7.519907,0.0,top
U6,17.84908,34.174388,0.0,top
U7,11.883,52.4374,0.0,top
